,yr_month,Felony,Misdemeanor
0,2015-01-01,338,321
2,2015-02-01,282,328
4,2015-03-01,349,345
6,2015-04-01,346,338
8,2015-05-01,313,350
10,2015-06-01,329,298
12,2015-07-01,341,322
14,2015-08-01,328,373
16,2015-09-01,300,302
18,2015-10-01,284,328
20,2015-11-01,266,325
22,2015-12-01,274,257
24,2016-01-01,280,252
26,2016-02-01,254,268
28,2016-03-01,281,289
30,2016-04-01,308,267
32,2016-05-01,368,379
34,2016-06-01,368,334
36,2016-07-01,285,274
38,2016-08-01,377,326
40,2016-09-01,328,315
42,2016-10-01,294,216
44,2016-11-01,300,231
46,2016-12-01,277,216
48,2017-01-01,299,288
50,2017-02-01,305,273
52,2017-03-01,339,311
54,2017-04-01,313,287
56,2017-05-01,326,327
58,2017-06-01,313,289
60,2017-07-01,349,345
62,2017-08-01,346,326
64,2017-09-01,337,294
66,2017-10-01,315,320
68,2017-11-01,305,272
70,2017-12-01,245,304
72,2018-01-01,321,345
74,2018-02-01,300,289
76,2018-03-01,338,382
78,2018-04-01,292,302
80,2018-05-01,299,328
82,2018-06-01,284,300
84,2018-07-01,340,309
86,2018-08-01,327,334
88,2018-09-01,290,322
90,2018-10-01,322,288
92,2018-11-01,269,282
94,2018-12-01,269,281
96,2019-01-01,187,228
98,2019-02-01,190,208
100,2019-03-01,237,289
102,2019-04-01,238,271
104,2019-05-01,202,281
106,2019-06-01,214,274
108,2019-07-01,265,323
110,2019-08-01,240,293
112,2019-09-01,206,282
114,2019-10-01,203,279
116,2019-11-01,207,228
118,2019-12-01,217,320
120,2020-01-01,204,285
122,2020-02-01,222,246
124,2020-03-01,217,277
126,2020-04-01,244,277
128,2020-05-01,242,265
130,2020-06-01,205,241
132,2020-07-01,220,253
134,2020-08-01,228,258
136,2020-09-01,242,182
138,2020-10-01,227,249
140,2020-11-01,197,222
142,2020-12-01,218,199
144,2021-01-01,199,187
146,2021-02-01,191,198
148,2021-03-01,233,258
150,2021-04-01,212,243
152,2021-05-01,203,225
154,2021-06-01,277,269
156,2021-07-01,223,231
158,2021-08-01,259,202
160,2021-09-01,230,179
162,2021-10-01,214,195
164,2021-11-01,207,188
166,2021-12-01,203,183
168,2022-01-01,183,166
170,2022-02-01,190,148
172,2022-03-01,189,175
174,2022-04-01,177,178
176,2022-05-01,213,183
178,2022-06-01,206,158
180,2022-07-01,201,170
182,2022-08-01,183,165
184,2022-09-01,154,181
186,2022-10-01,194,186
188,2022-11-01,173,176
190,2022-12-01,161,163
192,2023-01-01,214,159
194,2023-02-01,154,145
196,2023-03-01,194,175
198,2023-04-01,209,183
200,2023-05-01,240,217
202,2023-06-01,185,202
204,2023-07-01,212,205
206,2023-08-01,211,205
208,2023-09-01,266,169
210,2023-10-01,206,168
212,2023-11-01,208,199
214,2023-12-01,201,210
216,2024-01-01,210,184
218,2024-02-01,201,163
220,2024-03-01,220,193
222,2024-04-01,204,193
224,2024-05-01,239,206
226,2024-06-01,181,190
228,2024-07-01,177,195
230,2024-08-01,227,224
232,2024-09-01,210,181
