county_name,Adams,Ashland,Barron,Bayfield,Brown,Buffalo,Burnett,Calumet,Chippewa,Clark,Columbia,Crawford,Dane,Dodge,Door,Douglas,Dunn,Eau Claire,Florence,Fond du Lac,Forest,Grant,Green,Green Lake,Iowa,Iron,Jackson,Jefferson,Juneau,Kenosha,Kewaunee,La Crosse,Lafayette,Langlade,Lincoln,Manitowoc,Marathon,Marinette,Marquette,Menominee,Milwaukee,Monroe,Oconto,Oneida,Outagamie,Ozaukee,Pepin,Pierce,Polk,Portage,Price,Racine,Richland,Rock,Rusk,Sauk,Sawyer,Shawano,Sheboygan,St Croix,Taylor,Trempealeau,Vernon,Vilas,Walworth,Washburn,Washington,Waukesha,Waupaca,Waushara,Winnebago,Wood
2010,43,8,37,11,249,12,11,25,46,14,139,1,76,33,37,23,24,89,13,43,45,49,20,30,18,1,19,36,19,152,7,159,14,26,36,60,100,22,23,3,1285,67,52,57,129,67,11,14,24,50,13,343,8,163,17,61,34,89,116,38,9,30,6,13,99,21,79,121,17,65,113,124
2011,25,7,24,13,254,14,7,20,39,13,95,5,90,35,30,25,40,80,6,50,23,54,14,18,24,3,11,46,14,158,17,120,6,53,30,56,101,12,20,3,1163,52,33,47,146,49,1,23,27,62,8,356,7,140,7,83,33,41,79,39,12,22,8,15,107,19,58,148,14,42,129,102
2012,30,6,23,19,246,17,4,17,53,27,121,8,98,43,23,39,30,74,7,40,26,58,14,11,7,1,23,51,23,155,11,99,8,23,19,50,115,18,40,2,962,72,44,38,130,57,2,28,23,50,14,339,5,145,8,87,27,32,88,48,23,22,16,18,87,27,54,101,15,58,194,106
2013,28,5,38,2,289,22,2,35,48,24,175,8,103,54,38,50,42,79,12,76,34,76,9,26,19,4,15,60,9,150,11,68,2,43,28,45,138,31,35,0,717,69,45,43,180,60,8,24,36,58,14,359,8,138,5,86,28,55,90,44,14,17,15,31,67,21,43,129,25,44,235,90
2014,25,11,22,6,408,14,5,43,60,22,185,8,95,46,32,47,34,128,5,73,44,66,9,24,11,1,14,59,16,197,24,65,4,48,34,46,173,16,31,3,610,47,20,30,187,75,10,30,40,61,8,399,8,110,6,93,36,57,83,43,15,9,13,30,38,29,50,101,18,46,200,102
2015,26,8,41,13,344,8,11,41,54,19,178,6,78,39,26,46,26,152,6,79,14,24,21,32,12,3,12,36,22,164,7,51,3,38,42,65,182,33,17,1,438,49,44,29,168,75,6,30,33,65,15,346,10,106,11,65,22,58,77,41,21,7,10,17,40,33,29,104,22,83,222,77
2016,21,15,59,8,279,16,11,48,55,14,205,11,87,54,26,39,42,144,6,91,25,28,17,40,16,2,10,56,16,152,13,77,1,40,38,47,174,20,21,2,270,72,33,41,104,101,4,24,44,50,9,395,9,77,12,60,31,83,87,52,22,3,11,49,61,29,28,113,38,79,202,91
2017,29,19,51,3,262,28,4,51,72,7,196,14,69,71,21,44,38,137,8,92,25,15,8,54,26,3,19,68,33,134,10,56,7,43,29,74,190,18,26,2,178,85,58,28,140,130,10,26,77,68,21,274,16,87,14,50,35,52,105,40,25,4,11,28,80,41,23,161,54,108,196,107
2018,24,18,40,6,295,24,18,67,61,15,143,21,60,60,21,25,67,150,7,90,19,31,14,50,23,1,12,52,48,146,11,57,3,46,17,105,242,24,25,0,156,118,60,27,120,167,2,20,49,46,17,239,16,94,16,52,46,60,113,64,24,6,12,25,67,48,38,155,56,147,160,153
2019,23,29,27,8,221,20,27,109,47,14,123,22,50,65,26,20,25,161,12,108,37,21,15,75,20,1,20,49,27,87,12,36,9,39,18,108,141,20,27,2,96,113,37,31,101,113,2,18,41,22,16,245,14,103,15,52,47,64,100,35,20,3,11,38,100,41,32,127,62,150,129,142
