County,Brown,Dane,Eau Claire,Kenosha,La Crosse,Marathon,Milwaukee,Outagamie,Racine,Rock,Sheboygan,Walworth,Washington,Waukesha,Winnebago
2010,5.070912281,0.940276114,5.857580012,7.081727942,8.792395014,5.221932115,11.90570345,4.409071382,13.40798133,7.550230875,6.838405872,7.143066822,4.697396733,2.487000933,5.626283122
2011,4.990398473,1.189494545,5.603474154,6.593340726,7.116202378,5.061821213,11.0477608,5.170688938,13.80138322,6.317751631,3.645580168,7.988854574,3.17371559,2.993575327,6.80625459
2012,4.43244869,1.19307539,5.553406916,6.697923644,5.920561509,5.209573708,8.925251023,3.631224058,12.95003957,6.06003811,4.705185288,6.221384064,2.712232167,2.138438431,10.08752411
2013,4.877837702,1.235870857,4.521595533,6.276150628,4.791197885,6.449986655,6.256247108,5.101757888,14.79350729,5.613037214,5.231174311,5.058710223,2.256843879,2.663980698,10.21957314
2014,7.962467116,1.065309269,8.457075425,7.924402393,3.661444142,8.140128614,5.362959686,4.941036959,14.68278008,3.0449913,3.304865109,2.229308624,2.844290088,1.820954635,8.622522501
2015,5.855981633,0.86042065,9.894200627,6.848907153,2.548874672,9.459479433,3.411861802,4.036481061,13.25306156,3.540240736,3.47234279,2.927543303,1.642943557,2.044231104,9.690036988
2016,4.893762957,0.903451184,8.551410497,6.135809897,3.90887229,8.438131472,1.738509343,2.221102642,14.01106515,2.293577982,4.694427541,3.215528077,1.563547018,2.25835025,8.371210111
2017,4.546114409,0.874495072,7.433724006,6.05859013,3.473604839,9.44984201,1.073489852,3.282817411,8.221626452,3.390770938,5.039578066,5.347593583,1.33402505,3.018216558,7.688064134
2018,3.989892273,0.627366463,9.007714053,5.623764252,3.642802077,10.92888105,0.950400699,1.926380171,6.875232357,3.069857681,4.859719004,4.925156929,2.214921186,2.881830061,6.203256124
2019,3.519941232,0.596928059,9.46731843,3.441646294,1.357151339,7.016455434,0.536150189,2.154011847,6.339403483,3.145197099,5.184150025,5.918078274,1.778765981,2.62188651,5.692120814
